part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
COP-R2-00018,r2-p8-6c-3be38319008d,Indigo purple,#482960,2,88,-28.0,60.0,9.6,180,-Z,SEATED_NOMINAL,,COP-C-00117;COP-C-00119,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00118,r2-p8-3c-59ad165cac4b,Indigo purple,#482960,2,89,-24.0,-96.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00118,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00120,r2-p8-4c-3aff0bc679b6,Indigo purple,#482960,2,90,4.0,-96.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00120,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00121,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,91,4.0,-84.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00121,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00122,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,92,4.0,-68.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00122,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00123,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,93,4.0,-52.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00123,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00124,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,94,4.0,-36.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00124,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00125,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,95,4.0,-20.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00125,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00126,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,96,4.0,-4.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00126,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00127,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,97,4.0,12.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00127,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00128,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,98,4.0,28.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00128,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00129,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,99,4.0,44.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00129,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00019,r2-p8-5c-62d52ff397c6,Indigo purple,#482960,2,100,4.0,60.0,9.6,180,-Z,SEATED_NOMINAL,,COP-C-00130;COP-C-00131,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00132,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,2,101,28.0,-96.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00132,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00020,r2-p8-9c-678c5c2d2e15,Indigo purple,#482960,2,102,40.0,-84.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00133;COP-C-00144,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00134,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,103,36.0,-68.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00134,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00135,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,104,36.0,-52.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00135,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00136,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,105,36.0,-36.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00136,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00137,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,106,36.0,-20.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00137,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00138,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,107,36.0,-4.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00138,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00139,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,108,36.0,12.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00139,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00140,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,109,36.0,28.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00140,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00141,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,110,36.0,44.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00141,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00021,r2-p8-4c-5385f7231395,Indigo purple,#482960,2,111,32.0,60.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00142;COP-C-00143,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00022,r2-p8-10c-699c9ac84be5,Indigo purple,#482960,2,112,64.0,-60.0,9.6,270,-Z,SEATED_NOMINAL,,COP-C-00145;COP-C-00146,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00147,r2-p8-6c-f8970603e784,Indigo purple,#482960,2,113,64.0,-36.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00147,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00148,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,114,68.0,-20.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00148,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00023,r2-p8-9c-678c5c2d2e15,Indigo purple,#482960,2,115,72.0,-4.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00149;COP-C-00154,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00024,r2-p8-10c-63a4682badf1,Indigo purple,#482960,2,116,72.0,12.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00150;COP-C-00155,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00151,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,117,68.0,28.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00151,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00025,r2-p8-3c-1728e99c897f,Indigo purple,#482960,2,118,60.0,44.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00152;COP-C-00153,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00026,r2-p8-10c-b57265b20383,Indigo purple,#482960,3,119,-88.0,-36.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00178;COP-C-00179;COP-C-00191;COP-C-00192,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00027,r2-p8-11c-1f3f7b12808d,Indigo purple,#482960,3,120,-88.0,4.0,14.4,90,-Z,SEATED_NOMINAL,,COP-C-00193;COP-C-00194,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00206,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,3,121,-80.0,28.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00206,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00167,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,122,-68.0,-60.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00167,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00180,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,123,-68.0,-28.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00180,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00195,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,124,-68.0,4.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00195,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00207,r2-p8-6c-f8970603e784,Indigo purple,#482960,3,125,-68.0,32.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00207,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00028,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,3,126,-60.0,-80.0,14.4,0,-Z,SEATED_NOMINAL,,COP-C-00164;COP-C-00165,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00168,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,127,-52.0,-60.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00168,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00181,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,128,-52.0,-28.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00181,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00196,r2-p8-8c-4a40eb007127,Indigo purple,#482960,3,129,-52.0,4.0,14.4,270,-Z,SEATED_NOMINAL,,COP-C-00196,PROTOTYPE_NOT_FIT_VALIDATED
