type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p8-12c-841f31294d1f,Indigo purple,#482960,1,12,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[5,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-12c-841f31294d1f.stl
r2-p8-12c-dcfe5d5c1131,Indigo purple,#482960,1,12,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,1],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-12c-dcfe5d5c1131.stl
r2-p8-13c-2ca80037114e,Indigo purple,#482960,1,13,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-13c-2ca80037114e.stl
r2-p8-13c-6b069823e62a,Indigo purple,#482960,1,13,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-13c-6b069823e62a.stl
r2-p8-13c-728c595f23a4,Indigo purple,#482960,1,13,"[[0,0],[0,1],[0,2],[0,3],[1,1],[1,2],[1,3],[2,1],[2,2],[2,3],[3,2],[3,3],[4,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-13c-728c595f23a4.stl
r2-p8-14c-3eff1c3ba5c1,Indigo purple,#482960,1,14,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-14c-3eff1c3ba5c1.stl
r2-p8-16c-ef2592b64abc,Indigo purple,#482960,1,16,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1],[3,2],[3,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-16c-ef2592b64abc.stl
r2-p8-1c-7b7dfaafbc42,Indigo purple,#482960,89,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-7b7dfaafbc42.stl
r2-p8-1c-7b7dfaafbc42,Blue,#0A2989,26,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-7b7dfaafbc42.stl
r2-p8-1c-7b7dfaafbc42,Bright green,#BECF00,3,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-7b7dfaafbc42.stl
r2-p8-1c-8edfce4433a6,Indigo purple,#482960,213,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-8edfce4433a6.stl
r2-p8-1c-8edfce4433a6,Blue,#0A2989,123,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-8edfce4433a6.stl
r2-p8-1c-8edfce4433a6,Bright green,#BECF00,12,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-1c-8edfce4433a6.stl
r2-p8-2c-021c6b8baa17,Indigo purple,#482960,210,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-2c-021c6b8baa17.stl
r2-p8-2c-021c6b8baa17,Blue,#0A2989,55,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-2c-021c6b8baa17.stl
r2-p8-2c-021c6b8baa17,Bright green,#BECF00,6,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-2c-021c6b8baa17.stl
r2-p8-2c-025a1b2bb4d6,Indigo purple,#482960,46,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-2c-025a1b2bb4d6.stl
r2-p8-2c-025a1b2bb4d6,Blue,#0A2989,3,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-2c-025a1b2bb4d6.stl
